Usage Summary

Rank |        NDC11 | Drug Name                          | Quant. |      % | Cuml %
  34 |  00904323392 | CALCIUM 600+D 400 IU TAB (TAB)     |   8976 |   0.61 |  32.71
  35 |  13668001005 | CITALOPRAM 20MG TAB (TAB)          |   8831 |    0.6 |  33.32
  36 |  00378207510 | LISINOPRIL 20 MG TAB (TAB)         |   8625 |   0.59 |   33.9
  37 |  13668010310 | DONEPEZIL 10 MG TAB (TAB)          |   8623 |   0.59 |  34.49
  38 |  60505024708 | MIRTAZAPINE 15 MG TAB (TAB)        |   8463 |   0.58 |  35.07
  39 |  00603421132 | LISINOPRIL 10 MG TAB (TAB)         |   8455 |   0.58 |  35.65
  40 |  00904052380 | VITAMIN C 500 MG TAB (TAB)         |   8306 |   0.57 |  36.22
  41 |  49884082501 | METOPROLOL SUC 25 MG *DNC* (TAB)   |   8137 |   0.56 |  36.77
  42 |  13668013605 | ESCITALOPRAM 10 MG TAB (TAB)       |   7850 |   0.54 |  37.31
  43 |  65862024608 | LEVETIRACETAM 500MG TAB (TAB)      |   7744 |   0.53 |  37.84
  44 |  00527134110 | LEVOTHYROXINE 25 MCG TAB (TAB)     |   7639 |   0.52 |  38.36
  45 |  74312002610 | PROBIOTIC (ACIDO,LACTO)(ORI (TAB)  |   7440 |   0.51 |  38.87
  46 |  65862020299 | LOSARTAN 50 MG TAB (TAB)           |   7431 |   0.51 |  39.38
  47 |  00781107810 | ATENOLOL 25 MG TAB (TAB)           |   7392 |   0.51 |  39.88
  48 |  60505006501 | OMEPRAZOLE DR 20MG*DNC* CAP (CAP)  |   7353 |    0.5 |  40.38
  49 |  65862001205 | SERTRALINE 50 MG TAB (TAB)         |   7303 |    0.5 |  40.88
  50 |  04142000007 | FLORASTOR 250 MG CAPS (CAP)        |   7035 |   0.48 |  41.36
  51 |  00904598660 | VITAMIN D3 5,000 UNIT CAP (CAP)    |   6970 |   0.48 |  41.84
  52 |  57664047458 | METFORMIN 1,000 MG TAB (TAB)       |   6954 |   0.48 |  42.31
  53 |  13668003605 | RISPERIDONE 0.5 MG TAB (TAB)       |   6953 |   0.48 |  42.79
  54 |  00904323292 | CALCIUM 600 MG TABLET (TAB)        |   6765 |   0.46 |  43.25
  55 |  55111053205 | DIVALPROEX 125 MG *DNC*CAP (CAP)   |   6717 |   0.46 |  43.71
  56 |  31722023710 | AMLODIPINE 2.5 MG TAB (TAB)        |   6473 |   0.44 |  44.15
  57 |  65862014205 | CARVEDILOL  3.125MG TAB (TAB)      |   6412 |   0.44 |  44.59
  58 |  65862001305 | SERTRALINE 100 MG TAB (TAB)        |   6369 |   0.44 |  45.03
  59 |  00904518252 | MELATONIN 3 MG TAB (TAB)           |   6308 |   0.43 |  45.46
  60 |  00603497532 | OXYBUTYNIN 5 MG TAB (TAB)          |   6269 |   0.43 |  45.89
  61 |  00904188380 | OYST CAL 500MG     TAB (TAB)       |   6217 |   0.42 |  46.31
  62 |  29300013510 | CLONIDINE 0.1 MG TAB (TAB)         |   6154 |   0.42 |  46.73
  63 |  45802065087 | LORATADINE 10MG TABLET (TAB)       |   6115 |   0.42 |  47.15
  64 |  50111043303 | TRAZODONE 50MG        TAB (TAB)    |   6085 |   0.42 |  47.56
  65 |  65862014305 | CARVEDILOL 6.25 MG TABLET (TAB)    |   6046 |   0.41 |  47.98
  66 |  60258018501 | POLY IRON 150 CAPS (CAP)           |   5889 |    0.4 |  48.38
  67 |  53746054205 | POTASSIUM CL ER10MEQ  CAP * (CAP)  |   5831 |    0.4 |  48.78
  68 |  53746025310 | RANITIDINE 150 MG TAB (TAB)        |   5826 |    0.4 |  49.18
  69 |  65862014405 | CARVEDILOL 12.5MG    TAB (TAB)     |   5710 |   0.39 |  49.57
  70 |  13668013705 | ESCITALOPRAM 20 MG TAB (TAB)       |   5680 |   0.39 |  49.95
  71 |  16729009016 | FINASTERIDE 5MG *DNC*TAB (TAB)     |   5461 |   0.37 |  50.33
  72 |  00527134510 | LEVOTHYROXINE  100 MCG (TAB)       |   5400 |   0.37 |   50.7
  73 |  00527132401 | DIGOXIN 125 MCG TAB (TAB)          |   5365 |   0.37 |  51.06
  74 |  68180051303 | LISINOPRIL 5 MG TAB (TAB)          |   5320 |   0.36 |  51.43
  75 |  00456342890 | NAMENDA XR28MG*DNC* (CAP)          |   5229 |   0.36 |  51.78
  76 |  65862000505 | CITALOPRAM 10 MG TAB (TAB)         |   5183 |   0.35 |  52.14
  77 |  65862065399 | MEMANTINE 10 MG TAB (TAB)          |   5157 |   0.35 |  52.49
  78 |  00904546080 | OYST CAL 500+D200IU TAB (TAB)      |   5049 |   0.34 |  52.83
  79 |  49884082601 | METOPROLOL SUC 50 MG *DNC* (TAB)   |   5029 |   0.34 |  53.18
  80 |  16729000617 | SIMVASTATIN 40 MG TAB (TAB)        |   4999 |   0.34 |  53.52
  81 |  62756079813 | DIVALPROEX  DR 500MG TAB (TAB)     |   4882 |   0.33 |  53.85
  82 |  60505014601 | OMEPRAZOLE DR 40MG*DNC*CAP (CAP)   |   4836 |   0.33 |  54.18
  83 |  60505258008 | ATORVASTATIN 40MG TAB (TAB)        |   4795 |   0.33 |  54.51
  84 |  60258017101 | MAG OXIDE 400 MG TAB (TAB)         |   4686 |   0.32 |  54.83
  85 |  30761015540 | MELATONIN 5 MG TABLET (TAB)        |   4614 |   0.32 |  55.15
  86 |  00603240632 | BACLOFEN 10 MG TABLET (TAB)        |   4586 |   0.31 |  55.46
  87 |  16729000417 | SIMVASTATIN 10 MG TAB (TAB)        |   4500 |   0.31 |  55.77
  88 |  68382003205 | DIVALPROEX DR 250 MG   TAB (TAB)   |   4497 |   0.31 |  56.07
  89 |  30768003304 | FISH OIL 1000 MG        CAP (CAP)  |   4475 |   0.31 |  56.38
  90 |  65862001105 | SERTRALINE 25 MG TAB (TAB)         |   4459 |    0.3 |  56.69
  91 |  60505014101 | GLIPIZide 5 MG TABLET (TAB)        |   4419 |    0.3 |  56.99
  92 |  00527134410 | LEVOTHYROXINE 88 MCG TABLET (TAB)  |   4383 |    0.3 |  57.29
  93 |  00185064010 | LISINOPRIL 40 MG TAB (TAB)         |   4364 |    0.3 |  57.58
  94 |  31722070010 | LOSARTAN 25 MG TAB (TAB)           |   4257 |   0.29 |  57.88
  95 |  23155000210 | HYDRALAZine 25 MG TAB (TAB)        |   4254 |   0.29 |  58.17
  96 |  00904201380 | ASPIRIN  325MG EC   TAB *DN (TAB)  |   4100 |   0.28 |  58.45
  97 |  00904548652 | CERTAVITE SR +LUTEIN TAB (TAB)     |   4068 |   0.28 |  58.72
  98 |  00904641292 | CALCIUM  500MG CHEW (TAB)          |   4018 |   0.27 |     59
  99 |  55111072910 | ALLOPURINOL 100MG    TAB (TAB)     |   3985 |   0.27 |  59.27
 100 |  60505313308 | QUETIAPINE FUM 100MG TAB (TAB)     |   3955 |   0.27 |  59.54
 101 |  23155000310 | HYDRALAZine 50 MG TAB (TAB)        |   3853 |   0.26 |   59.8
 102 |  13668008105 | MONTELUKAST 10 MG TAB (TAB)        |   3777 |   0.26 |  60.06
 103 |  60505016909 | PRAVASTATIN SOD 20 MG TAB (TAB)    |   3734 |   0.26 |  60.32
 104 |  68382022705 | AMIODARONE HCL 200 MG TAB (TAB)    |   3612 |   0.25 |  60.56
 105 |  62175012841 | ISOSORBIDE MN ER 30MG *DNC* (TAB)  |   3603 |   0.25 |  60.81
 106 |  13668013501 | ESCITALOPRAM 5 MG TAB (TAB)        |   3593 |   0.25 |  61.06
 107 |  13668003705 | RISPERIDONE 1 MG TAB (TAB)         |   3571 |   0.24 |   61.3
 108 |  00093221005 | SUCRALFATE 1 GM TAB (TAB)          |   3567 |   0.24 |  61.54
 109 |  53746051101 | SPIRONLACTONE 25MG TAB (TAB)       |   3549 |   0.24 |  61.79
 110 |  00603240732 | BACLOFEN 20 MG TABLET (TAB)        |   3542 |   0.24 |  62.03
 111 |  00527134710 | LEVOTHYROXINE 125 MCG TAB (TAB)    |   3496 |   0.24 |  62.27
 112 |  50111043403 | TRAZODONE 100MG     TAB (TAB)      |   3471 |   0.24 |   62.5
 113 |  47469000928 | OMEGA-3 1,000 MG SOFTGEL (CAP)     |   3445 |   0.24 |  62.74
 114 |  00591065705 | BUSpirONE HCL 5 MG TABLET (TAB)    |   3387 |   0.23 |  62.97
 115 |  00003089321 | ELIQUIS 2.5 MG TABLET (TAB)        |   3362 |   0.23 |   63.2
 116 |  60505017009 | PRAVASTATIN SOD 40 MG TAB (TAB)    |   3344 |   0.23 |  63.43
 117 |  68462012605 | GABAPENTIN 600MG        TAB (TAB)  |   3289 |   0.22 |  63.65
 118 |  49348052934 | LOPERAMIDE 2 MG TAB (TAB)          |   3279 |   0.22 |  63.88
 119 |  65862065260 | MEMANTINE 5 MG TAB (TAB)           |   3260 |   0.22 |   64.1
 120 |  62756040203 | PHENYTOIN 100 MG CAP*DNC* (CAP)    |   3195 |   0.22 |  64.32
 121 |  43199002001 | METHENAMINE HIPP 1GM TAB (TAB)     |   3178 |   0.22 |  64.54
 122 |  60505263301 | CETIRIZINE 10 MG TAB (TAB)         |   3170 |   0.22 |  64.75
 123 |  00781150610 | ATENOLOL 50 MG TAB (TAB)           |   3044 |   0.21 |  64.96
 124 |  13107000105 | MIRTAZAPINE 7.5MG TAB (TAB)        |   3025 |   0.21 |  65.17
 125 |  60505025202 | TIZANIDINE HCL 4 MG TABLET (TAB)   |   2992 |    0.2 |  65.37
 126 |  24208069762 | PRESERVISON AREDS 2 CAP (CAP)      |   2978 |    0.2 |  65.57
 127 |  65862014505 | CARVEDILOL 25MG    TAB (TAB)       |   2961 |    0.2 |  65.78
 128 |  63824000850 | MUCINEX ER 600 MG *DNC*TAB (TAB)   |   2960 |    0.2 |  65.98
 129 |  60505024808 | MIRTAZAPINE 30MG TAB (TAB)         |   2952 |    0.2 |  66.18
 130 |  59746017210 | PREDNISONE 5 MG  TAB (TAB)         |   2856 |    0.2 |  66.38
 131 |  29300012810 | HCTZ 25 MG TABLET (TAB)            |   2842 |   0.19 |  66.57
 132 |  00904791580 | IBUPROFEN 200MG TAB (TAB)          |   2830 |   0.19 |  66.76
 133 |  68382005105 | MELOXICAM 15 MG TABLET (TAB)       |   2755 |   0.19 |  66.95
 134 |  65862019399 | FLUOXETINE 20 MG CAP (CAP)         |   2736 |   0.19 |  67.14
 135 |  00904586960 | DOC SODIUM 100 MG TAB (TAB)        |   2602 |   0.18 |  67.32
 136 |  00003089421 | ELIQUIS 5 MG TABLET (TAB)          |   2520 |   0.17 |  67.49
 137 |  60505014202 | GLIPIZide 10 MG TABLET (TAB)       |   2519 |   0.17 |  67.66
 138 |  00536468010 | VITAMIN B-1 100MG TABLET (TAB)     |   2507 |   0.17 |  67.83
 139 |  30761004012 | CRANBERRY 250MG CAP (CAP)          |   2474 |   0.17 |     68
 140 |  00904585692 | CALCIUM 600 + VIT  D 200 (TAB)     |   2449 |   0.17 |  68.17
 141 |  00065804603 | ICAPS AREDS SOFTGEL (CAP)          |   2439 |   0.17 |  68.34
 142 |  00536417841 | I-VITE PROTECT TABLET (TAB)        |   2437 |   0.17 |   68.5
 143 |  00603420928 | LISINOPRIL 2.5 MG TAB (TAB)        |   2435 |   0.17 |  68.67
 144 |  16729018217 | HCTZ 12.5MG TAB (TAB)              |   2425 |   0.17 |  68.83
 145 |  13107001401 | GLYCOPYRROLATE 1 MG TABLET (TAB)   |   2392 |   0.16 |     69
 146 |  00904320713 | VITAMIN B-12 500 MCG TABLET (TAB)  |   2369 |   0.16 |  69.16
 147 |  00527134610 | LEVOTHYROXINE 112MCG (TAB)         |   2307 |   0.16 |  69.32
 148 |  00536509008 | I-VITE TABLET (TAB)                |   2302 |   0.16 |  69.47
 149 |  00536150060 | REGULOID CAP (CAP)                 |   2300 |   0.16 |  69.63
 150 |  24385036881 | NAPROXEN 220 MG TAB (TAB)          |   2292 |   0.16 |  69.79
 151 |  00591065805 | BUSpirONE HCL 10 MG TAB (TAB)      |   2279 |   0.16 |  69.94
 152 |  50458057890 | XARELTO 15MG TAB (TAB)             |   2248 |   0.15 |   70.1
 153 |  47335073713 | BUPropION SR150 MG *DNC* (TAB)     |   2240 |   0.15 |  70.25
 154 |  13668003805 | RISPERIDONE 2 MG TAB (TAB)         |   2239 |   0.15 |   70.4
 155 |  13668011105 | DULOXETINE  DR 60MG *DNC*CP (CAP)  |   2225 |   0.15 |  70.55
 156 |  00245021211 | MIDODRINE HCL 5 MG TAB (TAB)       |   2223 |   0.15 |  70.71
 157 |  00603333932 | DIPHENHYDRAMINE 25 MG CAP (CAP)    |   2202 |   0.15 |  70.86
 158 |  65862024508 | LEVETIRACETAM 250 MG TAB (TAB)     |   2176 |   0.15 |  71.01
 159 |  00536101901 | SIMETHICONE  CHEW 80MG (TAB)       |   2165 |   0.15 |  71.15
 160 |  00904576960 | APAP 650 MG  ARTH CAPLETS (TAB)    |   2152 |   0.15 |   71.3
 161 |  29300012410 | MELOXICAM 7.5 MG TABLET (TAB)      |   2149 |   0.15 |  71.45
 162 |  74312004233 | CALCIUM 600+VIT D3 800 TAB (TAB)   |   2091 |   0.14 |  71.59
 163 |  51248015003 | VESICARE 5 MG TABLET (TAB)         |   2076 |   0.14 |  71.73
 164 |  50458057990 | XARELTO 20 MG TABLET (TAB)         |   2050 |   0.14 |  71.87
 165 |  00378086005 | CLOZAPINE 100 MG TAB (TAB)         |   2009 |   0.14 |  72.01
 166 |  57237000299 | HCTZ 12.5 CAP (CAP)                |   1994 |   0.14 |  72.15
 167 |  03076803553 | CO Q-10 100 MG SOFTGEL (CAP)       |   1985 |   0.14 |  72.28
 168 |  13107015590 | PAROXETINE HCL 20 MG TAB (TAB)     |   1972 |   0.13 |  72.42
 169 |  23155000110 | HYDRALAZine 10 MG TAB (TAB)        |   1962 |   0.13 |  72.55
 170 |  60505011405 | GABAPENTIN 400MG CAP (CAP)         |   1951 |   0.13 |  72.68
 171 |  03076800601 | B-COMPLEX TABLET (TAB)             |   1934 |   0.13 |  72.82
 172 |  40985021324 | CRANBERRY  200 MG CAP (CAP)        |   1922 |   0.13 |  72.95
 173 |  00603576928 | SOTALOL 80 MG TAB (TAB)            |   1891 |   0.13 |  73.08
 174 |  13668001105 | CITALOPRAM 40MG TAB (TAB)          |   1891 |   0.13 |  73.21
 175 |  00591071805 | BUSpirONE HCL 15 MG TAB (TAB)      |   1886 |   0.13 |  73.33
 176 |  31722022505 | GEMFIBROZIL 600 MG TABLET (TAB)    |   1884 |   0.13 |  73.46
 177 |  65862057290 | VALSARTAN 160 MG TAB (TAB)         |   1882 |   0.13 |  73.59
 178 |  63304045830 | ONDANSETRON HCL 4 MG TAB (TAB)     |   1881 |   0.13 |  73.72
 179 |  65162054450 | PRIMIDONE 50 MG TAB (TAB)          |   1867 |   0.13 |  73.85
 180 |  68382003510 | VENLAFAXINE ER 75 MG*DNC* C (CAP)  |   1866 |   0.13 |  73.97
 181 |  62756079613 | DIVALPROEX  125 MG   DR TAB (TAB)  |   1852 |   0.13 |   74.1
 182 |  49884012201 | LABETALOL HCL 100MG TAB (TAB)      |   1809 |   0.12 |  74.23
 183 |  00527111610 | SODIUM CHLORIDE 1000 MG TAB (TAB)  |   1794 |   0.12 |  74.35
 184 |  53746046505 | IBUPROFEN 600 MG*DNC* TAB (TAB)    |   1781 |   0.12 |  74.47
 185 |  00603243321 | BENZTROPINE MES 0.5 MG TAB (TAB)   |   1757 |   0.12 |  74.59
 186 |  65862019201 | FLUOXETINE 10 MG CAP (CAP)         |   1728 |   0.12 |  74.71
 187 |  65862024708 | LEVETIRACETAM 750 MG TAB (TAB)     |   1724 |   0.12 |  74.83
 188 |  66582041454 | ZETIA 10 MG TABLET (TAB)           |   1698 |   0.12 |  74.94
 189 |  00832108110 | BENZTROPINE MES 1 MG TABLET (TAB)  |   1665 |   0.11 |  75.05
 190 |  00115703301 | FLUDROCORTISONE 0.1 MG TAB (TAB)   |   1661 |   0.11 |  75.17
 191 |  00597007541 | SPIRIVA 18 MCG CP-HAND (30P (CAP)  |   1650 |   0.11 |  75.28
 192 |  00054008826 | CALCIUM ACETATE 667 MG CAP (CAP)   |   1638 |   0.11 |  75.39
 193 |  00904582360 | VITAMIN D 400 UNITS TAB (TAB)      |   1628 |   0.11 |   75.5
 194 |  00093031905 | DILTIAZEM 60 MG TABLET *DNC (TAB)  |   1624 |   0.11 |  75.62
 195 |  23155050110 | HYDROXYZine HCL 25 MG TAB (TAB)    |   1605 |   0.11 |  75.72
 196 |  64980016201 | BETHANECHOL 25 MG TAB (TAB)        |   1585 |   0.11 |  75.83
 197 |  60505267108 | ATORVASTATIN 80MG TAB (TAB)        |   1577 |   0.11 |  75.94
 198 |  65862006499 | METOPROLOL TART 100 MG (TAB)       |   1577 |   0.11 |  76.05
 199 |  13668011005 | DULOXETINE  DR 30 MG *DNC* (CAP)   |   1531 |    0.1 |  76.15
 200 |  59746017110 | PREDNISONE 1MG  TAB (TAB)          |   1525 |    0.1 |  76.26
 201 |  00378018105 | ALLOPURINOL 300 MG      TAB (TAB)  |   1504 |    0.1 |  76.36
 202 |  00093031105 | LOPERAMIDE 2 MG CAP (CAP)          |   1503 |    0.1 |  76.46
 203 |  23155000401 | HYDRALAZine 100 MG TAB (TAB)       |   1458 |    0.1 |  76.56
 204 |  03076815605 | VITAMIN D3 1000 SOFTGEL CAP (CAP)  |   1445 |    0.1 |  76.66
 205 |  00904792780 | BISACODYL 5MG EC*DNC*TAB (TAB)     |   1439 |    0.1 |  76.76
 206 |  38485086335 | THERMOTABS TABLET (TAB)            |   1434 |    0.1 |  76.86
 207 |  03160402717 | VITAMIN B-12 1000 MCG SUBLI (TAB)  |   1409 |    0.1 |  76.95
 208 |  69097012315 | TOPIRAMATE 50 MG*DNC*TAB (TAB)     |   1406 |    0.1 |  77.05
 209 |  65162037150 | OXYBUTYNIN ER 5MG*DNC* TAB (TAB)   |   1406 |    0.1 |  77.15
 210 |  49884001908 | OMEGA-3 ETHYL ESTER 1 GM CA (CAP)  |   1403 |    0.1 |  77.24
 211 |  55111033290 | PANTOPRAZOLE 20 MG*DNC*TAB (TAB)   |   1397 |    0.1 |  77.34
 212 |  68001021408 | LOVASTATIN 40 MG TAB (TAB)         |   1394 |    0.1 |  77.43
 213 |  65162044110 | MECLIZINE 12.5 MG TAB (TAB)        |   1392 |    0.1 |  77.53
 214 |  49884082909 | DILTIAZEM CD  120 MG CAP *D (CAP)  |   1385 |   0.09 |  77.62
 215 |  68585000575 | MAG 64 *DNC*(ORIG) (TAB)           |   1380 |   0.09 |  77.72
 216 |  13668003905 | RISPERIDONE 3 MG TAB (TAB)         |   1370 |   0.09 |  77.81
 217 |  65862022801 | LAMOTRIGINE 100 MG TABLET (TAB)    |   1365 |   0.09 |   77.9
 218 |  60505015801 | BUPropION HCL 75 MG TAB (TAB)      |   1357 |   0.09 |     78
 219 |  60505311003 | OLANZAPINE 2.5MG TAB (TAB)         |   1352 |   0.09 |  78.09
 220 |  45802057178 | FEXOFENADINE  180 MG TAB (TAB)     |   1350 |   0.09 |  78.18
 221 |  59746017310 | PREDNISONE 10 MG TAB (TAB)         |   1347 |   0.09 |  78.27
 222 |  53746046405 | IBUPROFEN 400 MG TAB (TAB)         |   1338 |   0.09 |  78.36
 223 |  00228253850 | CARB-LEVO 10-100 TAB (TAB)         |   1338 |   0.09 |  78.46
 224 |  68462025501 | ROPINIROLE HCL 1MG  TAB (TAB)      |   1338 |   0.09 |  78.55
 225 |  00469260190 | MYRBETRIQ ER 25 MG TAB*DNC* (TAB)  |   1336 |   0.09 |  78.64
 226 |  68001022408 | LOVASTATIN 20 MG TAB (TAB)         |   1330 |   0.09 |  78.73
 227 |  68001000700 | GABAPENTIN 800MG         TA (TAB)  |   1327 |   0.09 |  78.82
 228 |  00904501360 | VITAMIN C 1,000 MG TABLET (TAB)    |   1323 |   0.09 |  78.91
 229 |  49884082701 | METOPROLOL SUC 100MG*DNC* (TAB)    |   1322 |   0.09 |     79
 230 |  00054009825 | OXCARBAZEPINE 300 MG TAB (TAB)     |   1315 |   0.09 |  79.09
 231 |  00781151601 | POTASSIUM CL ER 8MEQ  TAB (TAB)    |   1311 |   0.09 |  79.18
 232 |  65162037250 | OXYBUTYNIN ER10MG *DNC*TAB (TAB)   |   1306 |   0.09 |  79.27
 233 |  40985021104 | VITAMIN B-12 1000MCG TR TAB (TAB)  |   1292 |   0.09 |  79.36
 234 |  60505311108 | OLANZAPINE 5 MG TAB (TAB)          |   1273 |   0.09 |  79.44
 235 |  65862057390 | VALSARTAN 320 MG TAB (TAB)         |   1272 |   0.09 |  79.53
 236 |  49884012401 | LABETALOL 300 MG TAB (TAB)         |   1264 |   0.09 |  79.62
 237 |  00074780419 | K-TAB ER 10 MEQ *DNC* TAB (TAB)    |   1254 |   0.09 |   79.7
 238 |  47335083683 | GALANTAMINE 16MG ER*DNC* CA (CAP)  |   1249 |   0.09 |  79.79
 239 |  57896090110 | ASPIRIN 325 MG TAB (TAB)           |   1244 |   0.08 |  79.87
 240 |  65862022960 | LAMOTRIGINE 150 MG TABLET (TAB)    |   1235 |   0.08 |  79.96
 241 |  00832061115 | CARBAMAZEpine 200 MG TAB (TAB)     |   1234 |   0.08 |  80.04
 242 |  29300013605 | CLONIDINE 0.2 MG TAB (TAB)         |   1225 |   0.08 |  80.13
 243 |  00527134910 | LEVOTHYROXINE 150 MCG TAB (TAB)    |   1219 |   0.08 |  80.21
 244 |  49884012301 | LABETALOL 200MG TAB (TAB)          |   1213 |   0.08 |  80.29
 245 |  00591236701 | RALOXIFENE HCL 60MG *DNC*TA (TAB)  |   1206 |   0.08 |  80.37
 246 |  65862001901 | CEPHALEXIN 500 MG CAP (CAP)        |   1206 |   0.08 |  80.46
 247 |  64679092503 | ENALAPRIL 10 MG TAB (TAB)          |   1203 |   0.08 |  80.54
 248 |  10370051050 | DIVALPROEX  ER 250MG*DNC*TA (TAB)  |   1195 |   0.08 |  80.62
 249 |  00597014090 | TRADJENTA 5 MG TAB (TAB)           |   1191 |   0.08 |   80.7
 250 |  65862007701 | CIPROFLOXACIN HCL 500MG (TAB)      |   1185 |   0.08 |  80.78
 251 |  00536430605 | FIBER-LAX TABS (TAB)               |   1182 |   0.08 |  80.86
 252 |  00006027754 | JANUVIA 100 MG TAB (TAB)           |   1181 |   0.08 |  80.94
 253 |  10370051150 | DIVALPROEX ER 500MG*DNC* TA (TAB)  |   1181 |   0.08 |  81.03
 254 |  00093031801 | DILTIAZEM 30 MG TAB (TAB)          |   1178 |   0.08 |  81.11
 255 |  60505265601 | TRIAM-HCTZ 37.5-25 MG TAB (TAB)    |   1172 |   0.08 |  81.19
 256 |  37205083715 | OMEPRAZOLE OTC 20MG **UD** (TAB)   |   1172 |   0.08 |  81.27
 257 |  00904027760 | VITAMIN E 1,000  GELCAP (CAP)      |   1164 |   0.08 |  81.35
 258 |  16729000101 | GLIMEPIRIDE 1 MG TAB (TAB)         |   1154 |   0.08 |  81.42
 259 |  00245021111 | MIDODRINE 2.5 MG TAB (TAB)         |   1154 |   0.08 |   81.5
 260 |  24208040319 | OCUVITE LUTEIN CAP (CAP)           |   1150 |   0.08 |  81.58
 261 |  00378061601 | THIORIDAZINE 50 MG TAB (TAB)       |   1147 |   0.08 |  81.66
 262 |  65862022701 | LAMOTRIGINE 25MG TAB (TAB)         |   1140 |   0.08 |  81.74
 263 |  02507716971 | ESTER C 500MG TAB (TAB)            |   1126 |   0.08 |  81.81
 264 |  00904560413 | FISH OIL 500 MG OMEGA3 SOFT (CAP)  |   1119 |   0.08 |  81.89
 265 |  10370010250 | BUPropIONXL 300 MG *DNC* (TAB)     |   1118 |   0.08 |  81.97
 266 |  00185012905 | BUMETANIDE 1 MG (TAB)              |   1117 |   0.08 |  82.04
 267 |  13107015490 | PAROXETINE HCL 10 MG TAB (TAB)     |   1100 |   0.08 |  82.12
 268 | #62175026155 | NIFEDIPine ER 60MG*DNC* TAB (TAB)  |   1099 |   0.08 |  82.19
 269 |  65162044210 | MECLIZINE  25 MG TAB (TAB)         |   1096 |   0.07 |  82.27
 270 |  53746027205 | SMZ-TMP DS TAB 800-160 (TAB)       |   1090 |   0.07 |  82.34
